Geneid,Ctr_S1,Ctr_S2,Ctr_S7,Ctr_S13,RS_S6,RS_S9,RS_S12,RS_S16
ENSG00000228037,0,0,0,0,0,1,1,0
ENSG00000142611,73,24,54,14,5,11,17,1
ENSG00000284616,0,0,0,0,0,0,0,0
ENSG00000157911,189,176,213,250,183,100,169,102
ENSG00000260972,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,1,0,0,0,0
ENSG00000226374,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0,0
ENSG00000142655,224,364,346,302,332,210,269,253
ENSG00000232596,0,0,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,0
ENSG00000149527,6,4,3,4,1,3,5,5
ENSG00000284739,0,0,0,0,0,0,0,0
ENSG00000171621,533,815,630,660,1174,358,606,566
ENSG00000272235,6,7,5,0,1,2,8,2
ENSG00000284694,0,0,0,1,0,0,0,0
ENSG00000224387,0,0,0,0,1,0,0,0
ENSG00000142583,32,13,21,1,26,168,112,9
ENSG00000284674,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0
ENSG00000287727,0,1,0,0,0,1,0,1
ENSG00000286448,0,0,0,0,1,0,0,0
ENSG00000284703,0,0,0,0,1,0,0,0
ENSG00000226457,0,0,0,0,0,0,2,0
ENSG00000173614,148,242,179,167,165,106,171,154
ENSG00000215720,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0
ENSG00000204624,1,0,1,0,0,0,0,0
ENSG00000142606,0,0,0,0,0,0,0,0
ENSG00000225931,0,0,0,3,2,0,0,0
ENSG00000171729,40,38,97,22,77,41,81,34
ENSG00000229393,0,0,0,0,0,0,0,0
ENSG00000037637,297,339,290,345,269,276,347,285
ENSG00000287586,0,0,0,0,0,0,0,0
ENSG00000159423,240,227,229,286,176,124,196,188
ENSG00000227169,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0
ENSG00000157916,1570,2524,1583,2211,2077,1034,1782,1792
ENSG00000157881,232,256,255,316,132,138,196,170
ENSG00000238290,1,0,1,1,1,0,0,0
ENSG00000225387,0,0,0,0,0,0,0,0
ENSG00000048707,978,948,1105,946,1015,808,997,908
ENSG00000225196,0,0,0,0,0,0,0,0
ENSG00000162444,0,0,1,2,0,0,2,0
ENSG00000279625,0,0,0,0,0,0,0,0
ENSG00000180758,80,64,93,67,54,94,81,74
ENSG00000184677,302,525,423,373,361,245,307,286
ENSG00000288398,63,76,72,73,69,41,59,57
ENSG00000224621,1,1,0,0,0,0,2,0
ENSG00000285833,0,0,0,0,0,0,0,0
ENSG00000131697,173,208,254,235,148,149,230,206
ENSG00000284692,0,0,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0,0,0
ENSG00000197921,0,0,0,1,0,0,0,0
ENSG00000233755,0,0,0,0,0,0,0,0
ENSG00000233929,2,3,1,2,1,0,1,0
ENSG00000234166,0,0,0,0,0,0,0,0
ENSG00000055070,2185,3092,2399,2945,2237,1086,2158,2270
ENSG00000230035,0,0,0,0,0,0,0,0
ENSG00000225643,0,0,3,2,2,1,5,1
ENSG00000284666,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0
ENSG00000234397,0,0,1,0,0,0,0,0
ENSG00000204138,324,502,458,471,248,180,228,240
ENSG00000233419,1,0,0,1,0,0,0,0
ENSG00000235263,0,0,0,0,0,0,0,0
ENSG00000228176,1,0,0,1,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,0,0,0,0
ENSG00000090020,952,1058,1405,992,1433,915,1132,867
ENSG00000157978,300,311,587,590,266,291,545,622
ENSG00000158006,198,288,230,194,243,143,208,173
ENSG00000214812,1,0,0,0,0,1,0,0
ENSG00000196581,0,0,0,0,6,0,1,0
ENSG00000169403,1,1,2,2,0,1,1,2
ENSG00000171612,60,78,83,66,52,47,71,27
ENSG00000270927,0,0,0,0,0,0,0,0
ENSG00000188910,5,1,1,18,0,0,1,12
ENSG00000230523,0,0,0,0,0,0,0,0
ENSG00000158161,387,745,480,494,351,272,342,355
ENSG00000142627,696,878,1077,1481,610,453,629,907
ENSG00000284668,0,0,0,0,4,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,0
ENSG00000142632,53,94,77,57,110,18,53,16
ENSG00000234593,0,0,0,0,0,0,0,0
ENSG00000189337,201,187,259,166,152,284,188,73
ENSG00000028137,106,110,112,40,112,95,39,0
ENSG00000204464,0,0,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0,0,0
ENSG00000130939,988,1261,1162,1200,1099,635,979,919
ENSG00000175147,0,0,4,0,3,1,3,0
ENSG00000127472,22,0,1,2,1,5,13,2
ENSG00000060656,222,421,242,290,117,29,205,151
ENSG00000163867,134,204,138,168,165,85,115,109
ENSG00000230214,0,0,0,0,0,0,0,0
ENSG00000189280,0,3,3,4,14,0,8,7
ENSG00000134698,178,214,215,269,169,152,180,131
ENSG00000272420,0,1,0,1,2,0,0,1
ENSG00000132881,35,46,45,39,52,25,35,35
ENSG00000273274,0,0,0,0,0,1,0,3
ENSG00000236648,0,0,0,0,0,0,0,0
ENSG00000232273,0,1,0,0,0,0,2,0
ENSG00000287396,0,0,0,0,0,0,0,0
ENSG00000130940,2,3,8,3,8,4,8,4
ENSG00000163879,108,192,102,106,99,21,46,61
ENSG00000227527,3,2,2,0,1,2,1,0
ENSG00000116954,330,334,475,336,437,292,460,192
ENSG00000228589,3,9,6,4,4,1,1,5
ENSG00000163873,0,0,0,0,0,1,0,1
ENSG00000117215,0,0,0,0,2,0,0,0
ENSG00000230163,0,0,0,0,0,0,0,0
ENSG00000227538,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0
ENSG00000179051,962,1266,1459,1608,682,596,791,699
ENSG00000215895,10,19,10,8,5,7,8,17
ENSG00000284650,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0
ENSG00000126067,1885,2403,2195,2489,1876,980,1717,1939
ENSG00000274944,0,0,0,0,0,0,0,0
ENSG00000272078,1,1,0,1,1,0,1,0
ENSG00000230451,0,0,0,0,0,0,0,0
ENSG00000231606,0,1,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,0,0
ENSG00000054118,2309,2948,3053,2998,1907,1373,1921,2058
ENSG00000254553,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0
ENSG00000237749,1,0,0,0,1,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0
ENSG00000284705,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,2,0,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0,0,0
ENSG00000158315,22,9,14,7,9,8,7,16
ENSG00000186973,1,2,0,0,2,0,0,1
ENSG00000146463,1027,1572,1115,1107,1079,692,969,987
ENSG00000271741,0,0,0,0,0,0,0,0
ENSG00000142686,335,472,353,395,407,219,380,311
ENSG00000224751,0,0,0,0,0,0,0,0
ENSG00000117148,2,0,2,2,1,1,1,1
ENSG00000230585,0,0,2,1,0,1,0,0
ENSG00000117000,327,413,377,365,278,270,315,261
ENSG00000284989,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000092853,368,357,636,614,167,91,50,21
ENSG00000255811,0,0,0,0,0,1,0,0
ENSG00000134697,876,1713,847,1370,804,443,609,693
ENSG00000187513,0,0,0,142,0,1,0,68
ENSG00000284720,0,0,0,0,0,0,0,0
ENSG00000225671,0,0,0,0,0,1,0,1
ENSG00000116151,59,44,53,50,48,35,31,31
ENSG00000006555,0,0,0,1,0,0,0,0
ENSG00000236111,0,0,0,1,0,0,1,0
ENSG00000214114,169,203,184,198,153,89,128,138
ENSG00000116544,1,4,4,13,4,0,1,36
ENSG00000236723,0,4,1,0,0,0,1,0
ENSG00000232467,0,1,0,0,0,0,0,0
ENSG00000117016,2,0,3,5,19,6,5,4
ENSG00000163866,350,582,427,507,386,185,302,314
ENSG00000237130,0,0,0,0,0,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0
ENSG00000260971,0,0,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,0,0,0,0
ENSG00000238242,0,0,0,1,0,0,0,1
ENSG00000232762,0,1,0,1,1,0,0,1
ENSG00000162384,354,248,310,359,243,190,222,224
ENSG00000162391,5,1,7,0,0,4,1,1
ENSG00000117859,664,1182,777,1276,1142,382,685,1308
ENSG00000162396,40,68,63,68,53,43,47,39
ENSG00000284686,1,0,4,1,1,0,1,1
ENSG00000162378,782,904,993,836,564,584,883,741
ENSG00000233079,0,0,0,0,0,0,0,0
ENSG00000259818,0,0,0,0,0,0,0,0
ENSG00000229444,0,0,0,0,0,0,0,0
ENSG00000240563,0,0,0,0,1,0,0,0
ENSG00000234318,0,1,0,0,0,0,0,0
ENSG00000284773,6,8,3,2,7,8,12,3
ENSG00000234481,0,0,0,0,0,0,0,0
ENSG00000235612,0,0,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0
ENSG00000224609,5,3,7,3,14,5,7,3
ENSG00000235545,2,4,2,2,1,1,3,1
ENSG00000236646,0,0,0,0,0,0,0,0
ENSG00000238063,0,0,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0,0,0
ENSG00000243725,9,12,15,15,12,3,5,11
ENSG00000171872,7,6,7,3,3,1,1,8
ENSG00000162407,1013,496,759,837,1684,624,825,414
ENSG00000285079,0,0,0,0,0,0,0,0
ENSG00000163877,246,353,304,284,285,173,259,196
ENSG00000228929,32,23,23,21,23,21,19,13
ENSG00000224570,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,0,0,0,0,0,1
ENSG00000157184,119,143,117,151,89,71,98,103
ENSG00000198815,610,1037,737,700,762,472,662,616
ENSG00000134744,410,550,504,442,323,281,372,342
ENSG00000233910,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,0,0,0
ENSG00000229294,0,0,0,0,0,0,0,0
ENSG00000234088,0,0,0,0,0,0,0,0
ENSG00000236973,0,1,0,0,1,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0,0,0
ENSG00000162385,283,303,320,264,186,135,172,173
ENSG00000223883,0,0,0,0,1,1,0,1
ENSG00000237227,0,0,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0,0,0
ENSG00000116652,5,5,7,5,16,4,12,4
ENSG00000123080,337,231,582,479,100,64,64,22
ENSG00000285778,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0
ENSG00000225675,1,0,0,1,1,0,1,0
ENSG00000162598,0,0,0,0,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0
ENSG00000162415,3,816,6,106,237,2,30,159
ENSG00000162600,118,127,146,115,86,48,122,96
ENSG00000116704,359,657,447,529,449,214,360,288
ENSG00000157193,346,1183,486,742,403,324,533,464
ENSG00000116205,185,289,198,216,171,128,178,171
ENSG00000234204,0,0,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,1,0,1,0
ENSG00000233994,4,1,2,2,2,1,0,2
ENSG00000233973,0,0,0,0,0,0,0,0
ENSG00000132854,3,6,2,1,0,0,2,0
ENSG00000227556,0,0,0,0,0,0,0,0
ENSG00000162607,749,726,1160,986,402,255,303,166
ENSG00000285954,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0
ENSG00000154027,355,1011,710,671,682,441,539,292
ENSG00000234108,0,0,0,0,1,0,0,0
ENSG00000232676,0,0,1,0,0,0,0,0
ENSG00000213579,0,1,0,1,0,0,0,0
ENSG00000137960,16,3,6,4,4,8,19,9
ENSG00000237852,0,1,0,1,1,0,1,0
ENSG00000132855,1,0,0,1,0,2,0,2
ENSG00000285407,0,0,0,0,0,0,0,0
ENSG00000270549,0,0,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0
ENSG00000116675,15,52,57,105,337,31,131,320
ENSG00000162433,534,461,574,302,839,1155,1502,963
ENSG00000213625,1013,1880,1132,1414,2094,755,1526,1459
ENSG00000233664,0,0,0,0,0,0,0,0
ENSG00000158966,94,101,95,132,320,67,129,138
ENSG00000213703,0,1,0,0,0,2,0,0
ENSG00000203965,76,112,126,88,150,62,95,79
ENSG00000223479,0,0,0,0,0,0,0,0
